page_number,text,source
11,"4 misuse of user data by third parties. According to the court, those statements were misleading because they portrayed the possibility of data misuse as hypothetical when Meta knew that Cambridge Analytica had in fact previously misused Facebook user data. Judge Bumatay dissented in relevant part, concluding that no reasonable investor would interpret statements concerning the pro- spect of future business harm from data misuse as im- pliedly asserting that no data misuse had ever occurred. The Ninth Circuits decision is deeply flawed, and this Court should now reverse . Item 105 of Regulation S -K requires the disclosure of  riskthat is, a possibility of future harm. The statements companies make in the Risk Factors section of their securities filings are thus inherently forward-looking; they typically signal that, if some triggering event were to occur, business harm could or may result. In light of the language of typical risk disclosures and their place in the broader context of a 10-K filing, n o reasonable investor would read such a statement as impliedly asserting anything about whether the triggering event has occurred in the past or whether such an occurrence created a present risk of harm to the company. The Ninth Circuits contrary rule would create disclosure obligations of the very sort this C ourt has re- jected; lead to overwarning in SEC filings; and encourage lawsuits alleging fraud by hindsight. That rule cannot be correct, and the judgment below should be reversed. A. Background 1. The Securities Exchange Act of 1934 makes it un- lawful [t]o use or employ, in connection with the purchase or sale of any security * * * any manipulative or decep- tive device in contravention of the rules prescribed by the SEC. 15 U.S.C. 78j(b). SEC Rule 10b -5(b) makes it un- lawful for any person subject to the Exchange Act [t]o",20240809133545974_23-980_petbrief.pdf
12,"5 make any untrue statement of a material fact or to omit to state a material fact necessary in order to make the state- ments made, in the light of the circumstances under which they were made, not misleading. 17 C.F.R. 240.10b-5(b). From those sources of law, this Court has inferred a private right of action permitting parties to recover dam- ages for securities fraud. See Halliburton Co. v. Erica P. John Fund, Inc., 573 U.S. 258, 267 (2014). The elements of a private securities-fraud claim under Section 10(b) and Rule 10b-5(b) are a material misrepresentation or omis- sion; scienter; a connection with the purchase or sale of a security; reliance; economic loss; and loss causation. Ibid. As th e Court recently reiterated, Section 10(b) and Rule 10b-5(b) do not create an affirmative duty to dis- close any and all material information. Macquarie In- frastructure Corp. v. Moab Partners, L.P., 601 U.S. 257, 264 (2024) (citation omitted) . Of particular note here, [p]ure omissions are not actionable under Rule 10b-5(b). Id. at 266. Instead, the failure to disclose information can support a claim under Rule 10b-5(b) only if the omission renders affirmative statements made misleading. Id. at 265. Whether an affirmative statement is misleading, in turn, is assessed from the the perspective of a reasonable investor. Omnicare, Inc. v. Laborers Dist rict Council Construction Industry Pension Fund, 575 U.S. 175, 186- 187 (2015). The inquiry is objective in nature and de- pends on [the] context in which the affirmative statement is made. Id. at 187, 190. Because Section 10(b) and Rule 10b-5(b) do not create affirmative disclosure obligations, companies can control what they have to disclose under [ those provisions ] by controlling what they say to the market. Matrixx Initi- atives, Inc. v. Siracusano, 563 U.S. 27, 45 (2011). Accord- ingly, [e]ven with respect to information that a reason - able investor might consider material, ibid., disclosure is",20240809133545974_23-980_petbrief.pdf
13,"6 not required unless it is necessary to render an affirma- tive statement not misleading, see Macquarie, 601 U.S. at 265. 2. The SEC requires publicly traded companies to file annual reports on SEC Form 10-K. See 15 U.S.C. 78m (a)(2); 17 C.F.R. 249.310. Th ose annual reports, also known as 10 -K filings, are designed to make infor- mation publicly available to investors on an ongoing basis to aid in their investment and voting decisions. 67 Fed. Reg. 58,480 (Sept. 16, 2002). To accomplish that goal, many SEC regulations re- quire a company to disclose in its 10-K filings various in- formation about the companys current business opera- tions. For example, a company must make disclosures about its general development of the business and [a]ny material changes to a previously disclosed business strategy, and any material pending legal proceedings against the company . 17 C.F.R. 229.101(a), 229.103(a) ; SEC Form 10- K. A company must also disclose any known trends or uncertainties that have had or that are reasonably likely to have a material favorable or unfavor- able impact on net sales or revenues or income from con- tinuing operations. 17 C.F.R. 229.303(b)(2)(ii). Before 2005, a company was not required to disclose in its 10- K filings the material future risks to investors from investing in the companys securities . Although a company would often include such risk disclosures as cautionary statements in order to qualify under the statutory safe harbor for forward- looking predictions or under the common-law bespeaks caution doctrine, see 15 U.S.C. 78u-5(c)(1)(A)(i); Kolominsky v. Root, Inc., 100 F.4th 675, 688 (6th Cir. 2024), the disclosures were re- quired only in the context of offerings, see 84 Fed. Reg. 12,688 (Apr. 2, 2019).",20240809133545974_23-980_petbrief.pdf
14,"7 In 2005, the SEC extended the risk-disclosure re- quirements to 10- K filings. 70 Fed. Reg. 44,830 (Aug. 3, 2005). Under a rule known as Item 105 of Regulation S- K, a companys 10-K filing must now include a section cap- tioned Risk Factors that discusses the material factors that make an investment in the registrant or offering speculative or risky . 17 C.F.R. 229.10 5(a). The discus- sion must be organized logically with relevant headings, and each risk factor must be set forth under a subcaption that adequately describes the risk . Ibid . Under each subcaption, the company must  explain how each risk af- fects the registrant or the securities being offered . 17 C.F.R. 229.105(b). Item 105 encourages companies to dis- cuss relevant risks [c]oncisely and in plain English. Ibid.1 B. Facts And Procedural History 1. Petitioner Facebook, Inc., now known as Meta Platforms, Inc., is a technology company that operates the Facebook social-media platform. Facebook enables users to connect with each other, share news and personal up- dates, and like and comment on each others posts. Users can also download third- party applications inte- grated into Facebook for a variety of purposes, including to play games and connect further with their friends. Users can share information, such as their age, gender, location, interests, the posts they like, and the people they have friended, with other users and also with third- party applications. Pet. App. 6a, 8a; J.A. 3, 22, 23, 202-203, 414-415. 1 At the time of the disclosures in this case, the risk-disclosure rule was located at 17 C.F.R. 229.503(c). In 2019, the SEC moved the rule to its current location of 17 C.F.R. 229.105. See 84 Fed. Reg. 12,688- 12,689.",20240809133545974_23-980_petbrief.pdf
15,"8 2. In 2013, Aleksandr Kogan, a professor at Cam- bridge University and co -founder of a company called Global Science Research, developed a third-party applica- tion called This Is Your Digital Life, which featured a per- sonality quiz . Approximately 270,000 Facebook users downloaded Kogans application and took the quiz. To do so, those users consented to share their data, as well as certain data about their Facebook friends to the extent their friends settings permitted such sharing. Through this mechanism, Kogan and Global Science Research ob- tained the data of millions of Facebook users. Kogan used the data to create personality scores designed to predict political voting behavior. Pet. App. 10a-11a, 133a; J.A. 38- 40, 72-74, 81-82, 202-203, 204. In December 2015, a British newspaper, the Guardian, reported that Kogan had sold the data he collected to the political-consulting firm Cambridge Analytica. That sale violated Metas policy prohibiting the transfer of Face- book user data to third parties. The article claimed that Cambridge Analytica used the personality scores to cre- ate psychological profiles of American voters, which it then deployed in support of the 2016 presidential cam- paign of Texas Senator Ted Cruz. An opinion piece in the New York Times picked up on the Guardians article a few days later. Pet. App. 10a-11a, 190a; J.A. 340-341, 616-630. Shortly after the Guardian article, Meta removed This Is Your Digital Life from Facebook . Pet. App. 134a. It also demanded and received written certifications from Kogan, Global Science Research, Cambridge Analytica, and Cambridge Analyticas parent company that they had deleted the Facebook user data from their systems. T he news that Cambridge Analytica had obtained Facebook user data and exploited it for the Cruz campaign had no effect on Metas stock price. Pet. App. 14a, 45a; J.A. 105- 107, 202-203, 213-215, 295-297, 591.",20240809133545974_23-980_petbrief.pdf
16,"9 On March 17, 2018, the Guardian and the New York Times reported that Cambridge Analytica had lied to Meta. Contrary to its written certification, Cambridge Analytica had retained the user data and used the data to support Donald Trumps 2016 presidential campaign. Meta immediately removed Kogan, Cambridge Analytica, and other related parties from Facebook and launched a further investigation. Metas stock price declined by 18% between Monday, March 19, and Tuesday, March 27. Pet. App. 14a, 15a, 134a; J.A. 13-14, 203-204, 366-367, 634-641. 3. On March 20, 2018, two days after the news reports concerning Cambridge Analytica, a class-action complaint was filed against Meta and others in the United States District Court for the Northern District of California. D. Ct. Dkt. 1. Respondents Amalgamated Bank and the Pub- lic Employees Retirement System of Mississippi were ap- pointed lead plaintiffs; respondent James Kacouris filed a separate action that was consolidated with the lead action. See D. Ct. Dkt. 56. Respondents then filed a consolidated complaint, which asserted claims against Meta and three of its executives, petitioners Mark Zuckerberg, Sheryl Sandberg, and David Wehner, under Sections 10(b), 20(a), and 20A of the Exchange Act and SEC Rule 10b -5. See J.A. 1-409. Respondents sought to proceed on behalf of a class of investors who purchased Meta stock between February 3, 2017, and July 25, 2018. J.A. 2. Respondents operative complaint alleges a variety of theories of securities fraud related to Metas privacy and data-protection practices. As is relevant here, respond- ents alleged that petitioners statements in the Risk Fac- tors section of Metas 2016 10-K filing, dated February 2, 2017, were misleading in light of Cambridge Analyticas actions. See Pet. App. 18a; J.A. 281- 282, 410 -549. Re- spondents focused on the following subsection of the Risk Factors section:",20240809133545974_23-980_petbrief.pdf
17,"10 Security breaches and improper access to or disclo- sure of our data or user data, or other hacking and phishing attacks on our systems, could harm our reputation and adversely affect our business Our industry is prone to cyber-attacks by third parties seeking unauthorized access to our data or users data. Any failure to prevent or mitigate securit y breaches and improper access to or disclosure of our data or user data could result in the loss or misuse of such data, which could harm our business and reputation and diminish our competitive position. In addition, computer malware, viruses, social engineering (pre- dominantly spear phishing attacks), and general hack- ing have become more prevalent in our industry, have occurred on our systems in the past, and will occur on our systems in the future. * * * Although we have developed systems and processes to protect our data and user data, to prevent data loss, and to prevent or detect security brea ches, we cannot assure you that such measures will provide absolute security. In addition, some of our developers or other partners, such as those that help us measure the effectiveness of ads, may receive or store information provided by us or by our users through mobile or web applications in- tegrated with Facebook. We provide lim ited infor- mation to such third parties based on the scope of ser- vices provided to us. However, if these third parties or developers fail to adopt or adhere to adequate data security practices, or in the even t of a breach of their networks, our data or our users data may be improp- erly accessed, used, or disclosed. J.A. 43 9-440. Elsewhere in the 10- K filing, Meta ex- plained that the word may and similar expressions were intended to identify forward -looking statements",20240809133545974_23-980_petbrief.pdf
18,"11 that are based on current expectations and projections about future events. Id. at 410. Respondents claims focused on the statement in the boldface heading and the ensuing statements that im- proper access to user data could harm Metas business; that Metas data-protection systems and processes cannot provide absolute security; and that third parties could misuse user data if obtained. See Pet. App. 21a. Respond- ents also challenged separate statements in the Risk Factors section that Metas business might suffer [i]f people do not perceive [Metas] products to be useful, re- liable, and trustworthy. J.A. 424; see Pet. App. 21a. Respondents contended that those statements were misleading because they framed the risk of data misuse as merely hypothetical despite Cambridge Analyticas actual misuse of Facebook user data . See Pet. App. 187a. Ac- cording to respondents, petitioners should have disclosed that Cambridge Analytica had used the misappropriated data to support the Cruz campaign in 2015 and continued to use the data to support the Trump campaign in 2016, after having certified that it had deleted the data. See id. at 117a; D. Ct. Dkt. 153, at 17-20. 4. The district court granted petitioners motions to dismiss. Pet. App. 109a-127a, 128a-224a. With respect to Cambridge Analyticas misuse of user data in support of the Cruz campaign , the district court concluded that most of the challenged statements warned of reputation, business, or competitive harm, not im- proper access to or the disclosure of user data. Pet. App. 189a. Those statements were not misleading, the court explained, because Cambridge Analyticas previous use of the data was not harming Facebooks reputation, busi- ness, or competitive position at the time of Facebooks 2016 10- K filing. See ibid. As to Facebooks warning about the risk of improper use or disclosure of user",20240809133545974_23-980_petbrief.pdf
19,"12 data, the court noted that Cambridge Analyticas initial improper access and use of the data was already public knowledge by the time of the filing. Id. at 189a-190a. In- vestors therefore had all of the information they needed to evaluate the statement and would not have been mis- led. Id. at 190a. The district court also rejected respondents claims based on Cambridge Analyticas subsequent use of the data in support of the Trump campaign. Pet. App. 117a; D. Ct. Dkt. 153, at 17- 20. The court concluded that re- spondents had failed to plead that anyone responsible for the challenged statements knew that Cambridge Analyt- ica was using the misappropriated data after Facebook obtained [the] certifications. Pet. App. 123a. 5. On appeal, respondents abandoned their claims re- lated to use of the data in support of the Trump campaign, stating that they do not press any continued-misuse the- ory regarding the risk statements. Resp. C.A. Reply Br. 3 n.1. Respondents thus proceeded solely on the theory that the risk statements were misleading in light of Cam- bridge Analyticas initial use of the data in support of the Cruz campaigna use that had been publicly reported . See Pet. 11-12 & n.2; Cert. Reply Br. 6. Analyzing that theory, a divided panel of the Ninth Circuit affirmed in part and reversed in part. Pet. App. 1a-40a. a. The Ninth Circuit affirmed the dismissal of the statements regarding the risk of security breaches and the risk of the public not perceiving Facebooks products to be useful, reliable, and trustworthy.  Pet. App. 29a. Those statements were not misleading , the court rea- soned, because they do not relate to the misuse of Face- book user data by Cambridge Analytica, and the share- holders [did] not allege that those risks had materialized at the time of the 2016 10-K. Ibid.",20240809133545974_23-980_petbrief.pdf
20,"13 As is relevant here, however, the Ninth Circuit re- versed with respect to the statements concerning the risk of the misuse of user data by third parties. Pet. App. 29a. The court held that those statements were misleading be- cause Meta represented the risk of improper access to or disclosure of Facebook user data as purely hypothetical when that exact risk had already transpired. Id. at 24a. According to the court, a reasonable investor reading the 10-K would have understood the risk of a third party ac- cessing and utilizing Facebook user data improperly to be merely conjectural. I bid. The court found it irrelevant that Meta did not yet know the extent of the reputational harm it would suffer as a result of the breach. Id. at 24a- 25a. The court concluded that the fact of the breach it- self, rather than the anticipation of reputational or finan- cial harm, is what caused [the] anticipatory statements to be materially misleading. Id. at 25a. b. Judge Bumatay dissented in relevant part . Pet. App. 41a-53a. He interpreted Metas risk statements to warn about harm to its reputation and business that may come to light if the public or the government learns about improper access to its data. Id . at 44a. In Judge Bumatays view, t he statements do not represent that [Meta] was free from significant breaches at the time of the filing. Ibid. A reasonable investor who thought otherwise, Judge Bumatay concluded, wasnt acting so reasonably. Pet. App. 44a-45a. As Judge Bumatay pointed out, in the same subsection as the challenged statements , Facebook ex- pressly advised that it experienced previous attempts to swipe its data and that it would continue to face such threats. Id. at 45a. [M]uch about the Cambridge Ana- lytica scandal was already public, he added, meaning that the same facts [respondents] use to claim [Meta] de- ceived the public were already widely disclosed. Ibid.",20240809133545974_23-980_petbrief.pdf
21,"14 Judge Bumatay proceeded to reject the majoritys surprisingly broad view that its irrelevant that [Meta] did not know whether its reputation was * * * harmed at the time of the 10-K filing. Pet. App. 45a-46a (citation omitted). To the contrary, [s]tating that harm could re- sult from a breach is not falsified by some unknown pos- sibility of harm from a breach. Ibid . Because [t]he statements advise that improper access to data could harm [Metas] reputation and business, and because re- spondents did not sufficiently allege[] that [Meta] knew its reputation and business were already harmed at the time of the filing of the 10-K, Judge Bumatay concluded that the statements were not misleading. Id. at 45a. 6. Meta filed a petition for panel rehearing and re- hearing en banc. Pet. App. 5a. The panel denied the pe- tition for panel rehearing over Judge Bumatays dissent but issued an amended opinion with changes not relevant here. See id. at 1a-53a. 2 The court subsequently granted petitioners motion to stay the mandate pending the reso- lution of proceedings before this Court. SUMMARY OF ARGUMENT A risk disclosure under Item 105 of SEC Regulation S-K is not false or misleading for purposes of Section 10(b) and Rule 10b-5(b) merely because a company does not dis- close whether the specified triggering event had occurred in the past or whether such an occurrence created a pre- sent risk of harm to the company. Metas risk disclosures in its 2016 10-K filing were thus not misleading merely be- cause they omitted that Cambridge Analytica had previ- ously misused Facebook user data. The Ninth Circuits contrary approach to risk disclosures under Item 105 is erroneous, and its judgment should be reversed. 2 For convenience, this brief cites only the amended opinion.",20240809133545974_23-980_petbrief.pdf
22,"15 A. A failure to disclose information is actionable un- der Section 10(b) and Rule 10b -5(b) only if the omission renders an affirmative statement misleading. Whether a statement is misleading is assessed using an objective standard, judged from the perspective of a reasonable in- vestor. With respect to ordinary risk disclosures under Item 105, a reasonable investor would understand them to be forward-looking and probabilistic in nature. Item 105 re- quires the disclosure of risk the possibility, but not certainty, of a loss. Risk disclosures thus inherently refer to harms that could materialize in the future. Risk disclo- sures usually warn of a risk of harm that could or may occur from some triggering event language indicating the speaker is conveying only that there is some possibil- ity of the risk occurring in the future. A reasonable investor would not interpret such for- ward-looking, probabilistic statements as implicitly certi- fying that the triggering event identified had never oc- curred in the past and that the company faced no present risk of harm from such an occurrence . That is especially true when, in contrast to Item 105, other items in Regula- tion S-K expressly require the disclosure of information about previous or ongoing events. That is not to say that a risk disclosure under Item 105 can never be false or misleading. A risk disclosure may be false or misleading where the statement necessarily depends on the veracity of some embedded fact or opinion, or the nature of the risk is misstated. But the mere fact that a risk disclosure does not state whether the trigger- ing event had occurred in the past or whether the com- pany faced some present risk of harm from such an occur- rence does not render the statement misleading. B. Under the foregoing approach, Metas statements about the risk of data misuse in the Risk Factors section",20240809133545974_23-980_petbrief.pdf
23,"16 of its 2016 10-K filing were not false or misleading. Those statements warned investors that the companys reputa- tion and business could or may be adversely affected by the misuse of user data. A reasonable investor would understand from the language and context of those state- ments that Meta was making only forward-looking disclo- sures about how future events might affect Metas busi- ness. A reasonable investor would not read th ose state- ments to imply that Meta ha d never previously experi- enced improper use of its data or that such improper use created no present risk to the companys reputation or business. In fact, Meta expressly warned investors that risks similar to the ones warned of here have materialized and will continue to do so , and major news sources had publicly reported that Cambridge Analytica had previ- ously misused Facebook user data. C. In the decision below, the Ninth Circuit held that a companys risk disclosures are materially misleading when they fail to inform investors that the triggering event for a warned-of risk had occurred in the past, even where that occurrence caused no reputational or financial harm. That standard is plainly incorrect. 1. The Ninth Circuits standard glosses over the ac- tual statements public companies are making in the Risk Factors section of their securities filings. Metas state- ments are a classic example. B y disclosing that data breaches could or may harm Metas business and rep- utation, Meta did not impli citly represent that the com- pany had not experienced data misuse in the past ; it merely conveyed that the warned-of harm could occur in the future. The Ninth Circuits standard blurs the distinc- tion between nonactionable pure omissions and actionable omissions that render affirmative statements misleading. 2. The Ninth Circuits standard would also result in bloated risk disclosures that conflict with the provisions of",20240809133545974_23-980_petbrief.pdf
